Groups	Times	Samples	total	Eimeria_aquae	Eimeria_kaii	Eimeria_fengxianensis	Eimeria_oocylindrica	Eimeria_dolichocystis	Eimeria_jinfengshanenisis	Eimeria_helini	Eimeria_sp.1	Eimeria_sp.2
Control	Hiding_phase	C10W1	0	0	0	0	0	0	0	0	0	0
Control	Hiding_phase	C1W1	53	52	0	1	0	0	0	0	0	0
Control	Hiding_phase	C2W1	36960	32064	1488	3408	0	0	0	0	0	0
Control	Hiding_phase	C3W1	0	0	0	0	0	0	0	0	0	0
Control	Hiding_phase	C4W1	0	0	0	0	0	0	0	0	0	0
Control	Hiding_phase	C5W1	0	0	0	0	0	0	0	0	0	0
Control	Hiding_phase	C6W1	14	0	2	5	7	0	0	0	0	0
Control	Hiding_phase	C7W1	8	0	0	0	2	0	0	6	0	0
Control	Hiding_phase	C8W1	0	0	0	0	0	0	0	0	0	0
Control	Hiding_phase	C9W1	5112	3024	576	1512	0	0	0	0	0	0
Treatment	Hiding_phase	T10W1	0	0	0	0	0	0	0	0	0	0
Treatment	Hiding_phase	T1W1	0	0	0	0	0	0	0	0	0	0
Treatment	Hiding_phase	T2W1	30	30	0	0	0	0	0	0	0	0
Treatment	Hiding_phase	T3W1	5383	3008	0	0	0	0	0	0	0	2375
Treatment	Hiding_phase	T4W1	0	0	0	0	0	0	0	0	0	0
Treatment	Hiding_phase	T5W1	0	0	0	0	0	0	0	0	0	0
Treatment	Hiding_phase	T6W1	0	0	0	0	0	0	0	0	0	0
Treatment	Hiding_phase	T7W1	3230	0	0	3121	0	0	0	0	109	0
Treatment	Hiding_phase	T8W1	620	1	455	0	16	144	4	0	0	0
Treatment	Hiding_phase	T9W1	0	0	0	0	0	0	0	0	0	0
Control	Conlict_phase	C10W2	0	0	0	0	0	0	0	0	0	0
Control	Conlict_phase	C10W3	103	60	0	43	0	0	0	0	0	0
Control	Conlict_phase	C10W4	103	92	0	11	0	0	0	0	0	0
Control	Conlict_phase	C1W2	780	624	84	72	0	0	0	0	0	0
Control	Conlict_phase	C1W3	766	674	0	0	75	2	13	0	2	0
Control	Conlict_phase	C1W4	83	58	3	21	1	0	0	0	0	0
Control	Conlict_phase	C2W2	3	3	0	0	0	0	0	0	0	0
Control	Conlict_phase	C2W3	0	0	0	0	0	0	0	0	0	0
Control	Conlict_phase	C3W2	2	2	0	0	0	0	0	0	0	0
Control	Conlict_phase	C3W3	0	0	0	0	0	0	0	0	0	0
Control	Conlict_phase	C3W4	17	11	0	6	0	0	0	0	0	0
Control	Conlict_phase	C4W2	44784	43272	0	0	1296	216	0	0	0	0
Control	Conlict_phase	C4W3	0	0	0	0	0	0	0	0	0	0
Control	Conlict_phase	C4W4	66	66	0	0	0	0	0	0	0	0
Control	Conlict_phase	C5W2	3	1	0	0	0	2	0	0	0	0
Control	Conlict_phase	C5W3	1548	1296	48	204	0	0	0	0	0	0
Control	Conlict_phase	C5W4	0	0	0	0	0	0	0	0	0	0
Control	Conlict_phase	C6W2	16	5	3	2	6	0	0	0	0	0
Control	Conlict_phase	C6W3	246	94	0	152	0	0	0	0	0	0
Control	Conlict_phase	C6W4	0	0	0	0	0	0	0	0	0	0
Control	Conlict_phase	C7W2	23	21	0	2	0	0	0	0	0	0
Control	Conlict_phase	C7W3	51	34	11	6	0	0	0	0	0	0
Control	Conlict_phase	C7W4	0	0	0	0	0	0	0	0	0	0
Control	Conlict_phase	C8W2	58	54	0	4	0	0	0	0	0	0
Control	Conlict_phase	C8W3	45	45	0	0	0	0	0	0	0	0
Control	Conlict_phase	C8W4	0	0	0	0	0	0	0	0	0	0
Control	Conlict_phase	C9W2	804	612	0	192	0	0	0	0	0	0
Control	Conlict_phase	C9W3	176	128	22	22	4	0	0	0	0	0
Control	Conlict_phase	C9W4	624	492	36	96	0	0	0	0	0	0
Treatment	Conlict_phase	T10W2	0	0	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T10W3	1	0	0	0	0	0	0	0	1	0
Treatment	Conlict_phase	T10W4	0	0	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T1W2	8	8	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T1W3	301	285	15	0	0	0	1	0	0	0
Treatment	Conlict_phase	T1W4	1	1	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T2W2	744	552	72	108	12	0	0	0	0	0
Treatment	Conlict_phase	T2W3	2772	1848	0	924	0	0	0	0	0	0
Treatment	Conlict_phase	T2W4	15192	14040	1152	0	0	0	0	0	0	0
Treatment	Conlict_phase	T3W2	20	17	0	3	0	0	0	0	0	0
Treatment	Conlict_phase	T3W3	3763	3758	0	0	0	0	5	0	0	0
Treatment	Conlict_phase	T3W4	12	12	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T4W2	0	0	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T4W3	1240	1012	24	204	0	0	0	0	0	0
Treatment	Conlict_phase	T4W4	21	21	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T5W2	0	0	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T5W3	139	125	0	0	4	10	0	0	0	0
Treatment	Conlict_phase	T5W4	27	27	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T6W2	0	0	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T6W3	324	298	26	0	0	0	0	0	0	0
Treatment	Conlict_phase	T7W2	0	0	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T7W3	1034	845	0	0	70	34	34	0	46	5
Treatment	Conlict_phase	T7W4	0	0	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T8W2	0	0	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T8W3	290	0	0	272	8	0	0	0	10	0
Treatment	Conlict_phase	T8W4	0	0	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T9W2	0	0	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T9W3	0	0	0	0	0	0	0	0	0	0
Treatment	Conlict_phase	T9W4	0	0	0	0	0	0	0	0	0	0
Control	Disintegrated_phase	C10W5	5520	4416	240	792	0	72	0	0	0	0
Control	Disintegrated_phase	C10W6	0	0	0	0	0	0	0	0	0	0
Control	Disintegrated_phase	C1W5	1	1	0	0	0	0	0	0	0	0
Control	Disintegrated_phase	C1W6	198	153	42	3	0	0	0	0	0	0
Control	Disintegrated_phase	C2W5	0	0	0	0	0	0	0	0	0	0
Control	Disintegrated_phase	C2W6	0	0	0	0	0	0	0	0	0	0
Control	Disintegrated_phase	C3W5	175	143	12	20	0	0	0	0	0	0
Control	Disintegrated_phase	C3W6	0	0	0	0	0	0	0	0	0	0
Control	Disintegrated_phase	C4W5	16	3	11	0	2	0	0	0	0	0
Control	Disintegrated_phase	C4W6	26	24	0	2	0	0	0	0	0	0
Control	Disintegrated_phase	C5W5	0	0	0	0	0	0	0	0	0	0
Control	Disintegrated_phase	C5W6	0	0	0	0	0	0	0	0	0	0
Control	Disintegrated_phase	C6W5	0	0	0	0	0	0	0	0	0	0
Control	Disintegrated_phase	C6W6	11880	11376	504	0	0	0	0	0	0	0
Control	Disintegrated_phase	C7W5	0	0	0	0	0	0	0	0	0	0
Control	Disintegrated_phase	C7W6	21	21	0	0	0	0	0	0	0	0
Control	Disintegrated_phase	C8W5	1	1	0	0	0	0	0	0	0	0
Control	Disintegrated_phase	C8W6	1	1	0	0	0	0	0	0	0	0
Control	Disintegrated_phase	C9W5	1356	888	132	264	72	0	0	0	0	0
Control	Disintegrated_phase	C9W6	480	252	24	204	0	0	0	0	0	0
Treatment	Disintegrated_phase	T10W5	0	0	0	0	0	0	0	0	0	0
Treatment	Disintegrated_phase	T10W6	34	34	0	0	0	0	0	0	0	0
Treatment	Disintegrated_phase	T1W5	20	19	1	0	0	0	0	0	0	0
Treatment	Disintegrated_phase	T1W6	0	0	0	0	0	0	0	0	0	0
Treatment	Disintegrated_phase	T2W5	2318	28	29	0	2058	155	48	0	0	0
Treatment	Disintegrated_phase	T2W6	0	0	0	0	0	0	0	0	0	0
Treatment	Disintegrated_phase	T3W5	0	0	0	0	0	0	0	0	0	0
Treatment	Disintegrated_phase	T3W6	0	0	0	0	0	0	0	0	0	0
Treatment	Disintegrated_phase	T4W5	4383	1396	0	0	0	0	26	0	2961	0
Treatment	Disintegrated_phase	T4W6	396	348	0	48	0	0	0	0	0	0
Treatment	Disintegrated_phase	T5W5	6488	1184	0	108	0	5196	0	0	0	0
Treatment	Disintegrated_phase	T5W6	163	104	16	43	0	0	0	0	0	0
Treatment	Disintegrated_phase	T6W5	2356	2312	1	0	4	39	0	0	0	0
Treatment	Disintegrated_phase	T6W6	324	216	0	108	0	0	0	0	0	0
Treatment	Disintegrated_phase	T7W5	97	4	0	0	10	77	6	0	0	0
Treatment	Disintegrated_phase	T7W6	0	0	0	0	0	0	0	0	0	0
Treatment	Disintegrated_phase	T8W5	38	29	0	0	0	9	0	0	0	0
Treatment	Disintegrated_phase	T8W6	86	75	5	6	0	0	0	0	0	0
Treatment	Disintegrated_phase	T9W5	1	1	0	0	0	0	0	0	0	0
Treatment	Disintegrated_phase	T9W6	0	0	0	0	0	0	0	0	0	0
Control	Independent_phase	C10W7	368	313	48	7	0	0	0	0	0	0
Control	Independent_phase	C10W8	11088	7920	2376	792	0	0	0	0	0	0
Control	Independent_phase	C1W7	0	0	0	0	0	0	0	0	0	0
Control	Independent_phase	C1W8	0	0	0	0	0	0	0	0	0	0
Control	Independent_phase	C2W7	118	81	6	31	0	0	0	0	0	0
Control	Independent_phase	C2W8	1	1	0	0	0	0	0	0	0	0
Control	Independent_phase	C3W7	0	0	0	0	0	0	0	0	0	0
Control	Independent_phase	C3W8	0	0	0	0	0	0	0	0	0	0
Control	Independent_phase	C4W7	282	210	22	42	8	0	0	0	0	0
Control	Independent_phase	C4W8	0	0	0	0	0	0	0	0	0	0
Control	Independent_phase	C5W7	0	0	0	0	0	0	0	0	0	0
Control	Independent_phase	C5W8	0	0	0	0	0	0	0	0	0	0
Control	Independent_phase	C6W7	672	459	18	195	0	0	0	0	0	0
Control	Independent_phase	C6W8	1164	1008	36	120	0	0	0	0	0	0
Control	Independent_phase	C7W7	1	0	0	1	0	0	0	0	0	0
Control	Independent_phase	C7W8	129	81	0	43	4	1	0	0	0	0
Control	Independent_phase	C8W7	0	0	0	0	0	0	0	0	0	0
Control	Independent_phase	C8W8	0	0	0	0	0	0	0	0	0	0
Control	Independent_phase	C9W7	50	31	6	11	2	0	0	0	0	0
Control	Independent_phase	C9W8	1	0	0	1	0	0	0	0	0	0
Treatment	Independent_phase	T10W7	0	0	0	0	0	0	0	0	0	0
Treatment	Independent_phase	T10W8	456	0	0	456	0	0	0	0	0	0
Treatment	Independent_phase	T1W7	0	0	0	0	0	0	0	0	0	0
Treatment	Independent_phase	T1W8	30	3	24	0	0	0	3	0	0	0
Treatment	Independent_phase	T2W7	0	0	0	0	0	0	0	0	0	0
Treatment	Independent_phase	T2W8	0	0	0	0	0	0	0	0	0	0
Treatment	Independent_phase	T3W7	97	81	2	14	0	0	0	0	0	0
Treatment	Independent_phase	T3W8	1718	166	58	25	1234	162	73	0	0	0
Treatment	Independent_phase	T4W7	35	23	0	12	0	0	0	0	0	0
Treatment	Independent_phase	T4W8	768	759	0	0	0	0	0	0	9	0
Treatment	Independent_phase	T5W7	11	11	0	0	0	0	0	0	0	0
Treatment	Independent_phase	T5W8	0	0	0	0	0	0	0	0	0	0
Treatment	Independent_phase	T6W7	230	192	26	12	0	0	0	0	0	0
Treatment	Independent_phase	T6W8	2997	2922	46	0	9	4	0	0	0	16
Treatment	Independent_phase	T7W7	0	0	0	0	0	0	0	0	0	0
Treatment	Independent_phase	T7W8	77	60	0	0	0	5	2	0	10	0
Treatment	Independent_phase	T8W7	85	61	3	21	0	0	0	0	0	0
Treatment	Independent_phase	T8W8	1729	1693	0	0	0	36	0	0	0	0
Treatment	Independent_phase	T9W7	0	0	0	0	0	0	0	0	0	0
Treatment	Independent_phase	T9W8	3	0	0	0	0	0	0	0	3	0
