opg	Treat
0	C
53	C
36960	C
0	C
0	C
0	C
14	C
8	C
0	C
5112	C
0	T
0	T
30	T
5383	T
0	T
0	T
0	T
3230	T
620	T
0	T
0	C
103	C
103	C
780	C
766	C
83	C
3	C
0	C
2	C
0	C
17	C
44784	C
0	C
66	C
3	C
1548	C
0	C
16	C
246	C
0	C
23	C
51	C
0	C
58	C
45	C
0	C
804	C
176	C
624	C
0	T
1	T
0	T
8	T
301	T
1	T
744	T
2772	T
15192	T
20	T
3763	T
12	T
0	T
1240	T
21	T
0	T
139	T
27	T
0	T
324	T
0	T
1034	T
0	T
0	T
290	T
0	T
0	T
0	T
0	T
5520	C
0	C
1	C
198	C
0	C
0	C
175	C
0	C
16	C
26	C
0	C
0	C
0	C
11880	C
0	C
21	C
1	C
1	C
1356	C
480	C
0	T
34	T
20	T
0	T
2318	T
0	T
0	T
0	T
4383	T
396	T
6488	T
163	T
2356	T
324	T
97	T
0	T
38	T
86	T
1	T
0	T
368	C
11088	C
0	C
0	C
118	C
1	C
0	C
0	C
282	C
0	C
0	C
0	C
672	C
1164	C
1	C
129	C
0	C
0	C
50	C
1	C
0	T
456	T
0	T
30	T
0	T
0	T
97	T
1718	T
35	T
768	T
11	T
0	T
230	T
2997	T
0	T
77	T
85	T
1729	T
0	T
3	T
