sample,MDS1,MDS2
C10W1,-0.45428,0.29605
C10W2,0.095881,-0.28427
C10W3,-0.31715,-0.093858
C10W4,-0.1434,-0.26974
C10W5,-0.01989,-0.096481
C10W6,0.16833,-0.30168
C10W7,0.20356,-0.17946
C10W8,0.068769,-0.097132
C1W1,0.083982,0.21338
C1W2,0.050748,0.15894
C1W3,-0.041137,0.18296
C1W4,0.0024606,-0.026421
C1W5,0.074206,0.12356
C1W6,-0.036623,-0.26131
C1W7,0.14502,0.24636
C1W8,0.06999,0.22838
C2W1,-0.80341,-0.043492
C2W2,-0.28223,-0.28493
C2W3,-0.093949,-0.29912
C2W5,-0.24485,0.041151
C2W6,-0.14526,0.13742
C2W7,-0.14844,-0.16954
C2W8,0.0022788,0.10732
C3W1,-0.18826,0.027005
C3W2,-0.0993,-0.23337
C3W3,-0.037848,0.071689
C3W4,0.27661,-0.16659
C3W5,-0.23261,0.23028
C3W6,0.22973,0.039582
C3W7,-0.034351,0.22092
C3W8,0.12433,0.24036
C4W1,-0.33941,-0.032437
C4W2,-0.23107,-0.17407
C4W3,0.1528,0.19391
C4W4,-0.1211,-0.16775
C4W5,0.021872,0.29094
C4W6,0.18587,-0.020819
C4W7,0.2134,-0.068219
C4W8,0.28125,0.19956
C5W1,-0.096605,0.094447
C5W2,0.098879,0.32131
C5W3,0.031629,0.074599
C5W4,0.014547,0.2349
C5W5,0.0046691,0.18263
C5W6,0.13073,-0.055998
C5W7,0.316,0.0067309
C5W8,0.029585,0.18898
C6W1,-0.10336,0.26621
C6W2,0.011165,0.20149
C6W3,-0.01279,0.070146
C6W4,0.094717,-0.028107
C6W5,0.048317,0.025389
C6W6,0.059884,-0.034481
C6W7,0.082,-0.08598
C6W8,-0.06326,0.22045
C7W1,-0.35393,0.039478
C7W2,-0.7407,-0.093335
C7W3,-0.39587,0.15299
C7W4,-0.18777,-0.16167
C7W5,-0.29094,0.15707
C7W6,0.32931,-0.23151
C7W7,0.29713,-0.039926
C7W8,0.26488,0.12612
C8W1,-0.25982,-0.04545
C8W2,-0.17821,-0.20525
C8W3,-0.10504,0.018195
C8W4,-0.089968,-0.093272
C8W5,-0.076463,0.0027403
C8W6,0.024375,-0.15879
C8W7,0.1808,-0.12934
C8W8,0.072059,0.18835
C9W1,-0.42305,0.019948
C9W2,0.069794,-0.30387
C9W3,-0.87741,0.0029875
C9W4,0.15432,-0.17462
C9W5,-0.25383,0.076072
C9W6,0.1216,-0.13558
C9W7,0.080905,-0.15245
C9W8,0.039565,-0.0011644
T10W1,-0.081553,0.16885
T10W2,0.13744,0.017689
T10W3,0.052986,0.13626
T10W4,0.041875,0.10936
T10W5,0.067094,0.13168
T10W6,0.0095313,0.24677
T10W7,0.16789,0.10504
T10W8,0.096716,0.14158
T1W1,-0.16636,0.091753
T1W2,0.017391,-0.25364
T1W3,0.086203,0.017841
T1W4,-0.041072,-0.17555
T1W5,-0.045391,-0.049186
T1W6,0.0037837,-0.23288
T1W7,-0.009728,-0.14912
T1W8,0.05091,-0.04912
T2W1,-0.28002,0.012978
T2W2,-0.074167,-0.31271
T2W3,-0.22952,-0.060051
T2W4,0.059686,-0.19813
T2W5,0.0096741,-0.12774
T2W6,0.037854,-0.29919
T2W7,0.14204,-0.2401
T2W8,0.069865,-0.17164
T3W1,-0.25326,-0.12602
T3W2,0.10322,-0.31747
T3W3,0.17651,-0.20572
T3W4,0.19528,-0.24414
T3W5,0.23195,-0.21516
T3W6,0.097045,-0.21708
T3W7,0.15409,-0.20588
T3W8,0.25606,-0.14315
T4W1,-0.54382,0.1283
T4W2,-0.4355,-0.11384
T4W3,-0.30075,0.051835
T4W4,0.11109,-0.26483
T4W5,-0.086892,-0.026042
T4W6,-0.17142,-0.24139
T4W7,-0.061692,-0.12865
T4W8,-0.11198,-0.044114
T5W1,-0.19345,0.44883
T5W2,0.09352,0.24254
T5W3,0.0081162,0.42471
T5W4,-0.11597,-0.27202
T5W5,-0.0039336,-0.0016457
T5W6,0.18458,0.017189
T5W7,0.056452,8.72E-05
T5W8,0.085799,0.057767
T6W1,-0.071482,0.055915
T6W2,-0.11864,0.030564
T6W3,-0.33153,-0.079487
T6W5,0.00477,0.036895
T6W6,0.12642,-0.037575
T6W7,0.097001,-0.0038391
T6W8,0.02039,0.046218
T7W1,0.1175,0.066576
T7W2,0.31046,0.071917
T7W3,0.13016,0.12744
T7W4,0.23287,-0.017942
T7W5,0.27442,-0.13074
T7W6,0.28561,0.043365
T7W7,0.37926,0.1095
T7W8,0.22046,0.12387
T8W1,0.12454,0.042658
T8W2,0.21976,-0.03758
T8W3,0.1223,0.10016
T8W4,0.17495,-0.043649
T8W5,0.21246,0.14532
T8W6,0.25117,0.066211
T8W7,0.31597,0.16181
T8W8,0.23126,0.17459
T9W1,-0.11491,0.22614
T9W2,0.13707,-0.10809
T9W3,0.0040188,0.14212
T9W4,-0.086326,0.11864
T9W5,0.17369,0.19009
T9W6,0.16186,0.14825
T9W7,0.16865,0.068003
T9W8,0.14332,0.17824
