"",Treat,Gender,Singleton,Periods,samples,variable,value,se
"1",Control,Male,Twins,P1,C10W1,Simpson,0.972134524724158,
"2",Control,Male,Twins,P2,C10W2,Simpson,0.990702074998863,
"3",Control,Male,Twins,P2,C10W3,Simpson,0.987005112903468,
"4",Control,Male,Twins,P2,C10W4,Simpson,0.992320264322407,
"5",Control,Male,Twins,P3,C10W5,Simpson,0.989210320441139,
"6",Control,Male,Twins,P3,C10W6,Simpson,0.991034030138184,
"7",Control,Male,Twins,P4,C10W7,Simpson,0.993669473972733,
"8",Control,Male,Twins,P4,C10W8,Simpson,0.991998472398276,
"9",Control,Male,Singleton,P1,C1W1,Simpson,0.990810080998968,
"10",Control,Male,Singleton,P2,C1W2,Simpson,0.994544857754264,
"11",Control,Male,Singleton,P2,C1W3,Simpson,0.99391521366888,
"12",Control,Male,Singleton,P2,C1W4,Simpson,0.99353914356054,
"13",Control,Male,Singleton,P3,C1W5,Simpson,0.996281537281671,
"14",Control,Male,Singleton,P3,C1W6,Simpson,0.992129409349681,
"15",Control,Male,Singleton,P4,C1W7,Simpson,0.994185003026046,
"16",Control,Male,Singleton,P4,C1W8,Simpson,0.993732188092748,
"17",Control,Female,Singleton,P1,C2W1,Simpson,0.980710602046153,
"18",Control,Female,Singleton,P2,C2W2,Simpson,0.989260045791228,
"19",Control,Female,Singleton,P2,C2W3,Simpson,0.993176873565346,
"20",Control,Female,Singleton,P3,C2W5,Simpson,0.958406560945309,
"21",Control,Female,Singleton,P3,C2W6,Simpson,0.994357204688867,
"22",Control,Female,Singleton,P4,C2W7,Simpson,0.99362780843208,
"23",Control,Female,Singleton,P4,C2W8,Simpson,0.989168506499087,
"24",Control,Female,Singleton,P1,C3W1,Simpson,0.989415994738697,
"25",Control,Female,Singleton,P2,C3W2,Simpson,0.991083061467938,
"26",Control,Female,Singleton,P2,C3W3,Simpson,0.991219534683801,
"27",Control,Female,Singleton,P2,C3W4,Simpson,0.993879399625941,
"28",Control,Female,Singleton,P3,C3W5,Simpson,0.967708750595072,
"29",Control,Female,Singleton,P3,C3W6,Simpson,0.994574192686518,
"30",Control,Female,Singleton,P4,C3W7,Simpson,0.993726080702173,
"31",Control,Female,Singleton,P4,C3W8,Simpson,0.994858867090357,
"32",Control,Male,Singleton,P1,C4W1,Simpson,0.99372129197078,
"33",Control,Male,Singleton,P2,C4W2,Simpson,0.992846459943098,
"34",Control,Male,Singleton,P2,C4W3,Simpson,0.9970136260693,
"35",Control,Male,Singleton,P2,C4W4,Simpson,0.995151675645842,
"36",Control,Male,Singleton,P3,C4W5,Simpson,0.996846557356331,
"37",Control,Male,Singleton,P3,C4W6,Simpson,0.995248704363235,
"38",Control,Male,Singleton,P4,C4W7,Simpson,0.994175100855505,
"39",Control,Male,Singleton,P4,C4W8,Simpson,0.995848325296826,
"40",Control,Male,Twins,P1,C5W1,Simpson,0.982635999325245,
"41",Control,Male,Twins,P2,C5W2,Simpson,0.989008124032255,
"42",Control,Male,Twins,P2,C5W3,Simpson,0.994540052435275,
"43",Control,Male,Twins,P2,C5W4,Simpson,0.994323642231894,
"44",Control,Male,Twins,P3,C5W5,Simpson,0.993431222836118,
"45",Control,Male,Twins,P3,C5W6,Simpson,0.993490257012605,
"46",Control,Male,Twins,P4,C5W7,Simpson,0.994984573523628,
"47",Control,Male,Twins,P4,C5W8,Simpson,0.996513561907874,
"48",Control,Female,Twins,P1,C6W1,Simpson,0.994015459165789,
"49",Control,Female,Twins,P2,C6W2,Simpson,0.993885443480027,
"50",Control,Female,Twins,P2,C6W3,Simpson,0.994752608298108,
"51",Control,Female,Twins,P2,C6W4,Simpson,0.994868191171901,
"52",Control,Female,Twins,P3,C6W5,Simpson,0.995528606578434,
"53",Control,Female,Twins,P3,C6W6,Simpson,0.995511814316925,
"54",Control,Female,Twins,P4,C6W7,Simpson,0.994123187161368,
"55",Control,Female,Twins,P4,C6W8,Simpson,0.982668997530875,
"56",Control,Male,Twins,P1,C7W1,Simpson,0.987375003729112,
"57",Control,Male,Twins,P2,C7W2,Simpson,0.978102594297679,
"58",Control,Male,Twins,P2,C7W3,Simpson,0.994241708343273,
"59",Control,Male,Twins,P2,C7W4,Simpson,0.994004444762817,
"60",Control,Male,Twins,P3,C7W5,Simpson,0.994751269583474,
"61",Control,Male,Twins,P3,C7W6,Simpson,0.992717870543967,
"62",Control,Male,Twins,P4,C7W7,Simpson,0.992211047149822,
"63",Control,Male,Twins,P4,C7W8,Simpson,0.996100442395579,
"64",Control,Male,Twins,P1,C8W1,Simpson,0.987469607359067,
"65",Control,Male,Twins,P2,C8W2,Simpson,0.99194430133032,
"66",Control,Male,Twins,P2,C8W3,Simpson,0.996101988338334,
"67",Control,Male,Twins,P2,C8W4,Simpson,0.994731332813011,
"68",Control,Male,Twins,P3,C8W5,Simpson,0.993618180056063,
"69",Control,Male,Twins,P3,C8W6,Simpson,0.994178179940058,
"70",Control,Male,Twins,P4,C8W7,Simpson,0.994798049330711,
"71",Control,Male,Twins,P4,C8W8,Simpson,0.992440487814818,
"72",Control,Male,Twins,P1,C9W1,Simpson,0.983985718421762,
"73",Control,Male,Twins,P2,C9W2,Simpson,0.993791045112751,
"74",Control,Male,Twins,P2,C9W3,Simpson,0.97605150443576,
"75",Control,Male,Twins,P2,C9W4,Simpson,0.99407050604793,
"76",Control,Male,Twins,P3,C9W5,Simpson,0.990109652564221,
"77",Control,Male,Twins,P3,C9W6,Simpson,0.995113245027673,
"78",Control,Male,Twins,P4,C9W7,Simpson,0.994123840027904,
"79",Control,Male,Twins,P4,C9W8,Simpson,0.993776564646521,
"80",Treatment,Male,Twins,P1,T10W1,Simpson,0.994042053754461,
"81",Treatment,Male,Twins,P2,T10W2,Simpson,0.994676938083843,
"82",Treatment,Male,Twins,P2,T10W3,Simpson,0.989897835960978,
"83",Treatment,Male,Twins,P2,T10W4,Simpson,0.995264079243345,
"84",Treatment,Male,Twins,P3,T10W5,Simpson,0.99682699898262,
"85",Treatment,Male,Twins,P3,T10W6,Simpson,0.994773069044361,
"86",Treatment,Male,Twins,P4,T10W7,Simpson,0.995453260591518,
"87",Treatment,Male,Twins,P4,T10W8,Simpson,0.996058208913293,
"88",Treatment,Male,Singleton,P1,T1W1,Simpson,0.989547366158723,
"89",Treatment,Male,Singleton,P2,T1W2,Simpson,0.993952794457353,
"90",Treatment,Male,Singleton,P2,T1W3,Simpson,0.993949111263055,
"91",Treatment,Male,Singleton,P2,T1W4,Simpson,0.993725501452014,
"92",Treatment,Male,Singleton,P3,T1W5,Simpson,0.990327716543559,
"93",Treatment,Male,Singleton,P3,T1W6,Simpson,0.989693023179717,
"94",Treatment,Male,Singleton,P4,T1W7,Simpson,0.992456822807982,
"95",Treatment,Male,Singleton,P4,T1W8,Simpson,0.994680079337073,
"96",Treatment,Male,Singleton,P1,T2W1,Simpson,0.992117456621512,
"97",Treatment,Male,Singleton,P2,T2W2,Simpson,0.991507733112874,
"98",Treatment,Male,Singleton,P2,T2W3,Simpson,0.988068339021696,
"99",Treatment,Male,Singleton,P2,T2W4,Simpson,0.994159335070899,
"100",Treatment,Male,Singleton,P3,T2W5,Simpson,0.995396833883939,
"101",Treatment,Male,Singleton,P3,T2W6,Simpson,0.994201471184397,
"102",Treatment,Male,Singleton,P4,T2W7,Simpson,0.995182397012206,
"103",Treatment,Male,Singleton,P4,T2W8,Simpson,0.996224350504126,
"104",Treatment,Male,Singleton,P1,T3W1,Simpson,0.988946036148372,
"105",Treatment,Male,Singleton,P2,T3W2,Simpson,0.993027256896465,
"106",Treatment,Male,Singleton,P2,T3W3,Simpson,0.99359469099073,
"107",Treatment,Male,Singleton,P2,T3W4,Simpson,0.992154043474789,
"108",Treatment,Male,Singleton,P3,T3W5,Simpson,0.989627523859376,
"109",Treatment,Male,Singleton,P3,T3W6,Simpson,0.994717511308216,
"110",Treatment,Male,Singleton,P4,T3W7,Simpson,0.994503490459554,
"111",Treatment,Male,Singleton,P4,T3W8,Simpson,0.995437332392355,
"112",Treatment,Male,Singleton,P1,T4W1,Simpson,0.991183822169478,
"113",Treatment,Male,Singleton,P2,T4W2,Simpson,0.99048277132645,
"114",Treatment,Male,Singleton,P2,T4W3,Simpson,0.981368630505569,
"115",Treatment,Male,Singleton,P2,T4W4,Simpson,0.992417308660454,
"116",Treatment,Male,Singleton,P3,T4W5,Simpson,0.993937655350791,
"117",Treatment,Male,Singleton,P3,T4W6,Simpson,0.987605738906234,
"118",Treatment,Male,Singleton,P4,T4W7,Simpson,0.994558712916689,
"119",Treatment,Male,Singleton,P4,T4W8,Simpson,0.995761799724337,
"120",Treatment,Male,Twins,P1,T5W1,Simpson,0.986670873871214,
"121",Treatment,Male,Twins,P2,T5W2,Simpson,0.990821755519897,
"122",Treatment,Male,Twins,P2,T5W3,Simpson,0.989516451507774,
"123",Treatment,Male,Twins,P2,T5W4,Simpson,0.98703890916897,
"124",Treatment,Male,Twins,P3,T5W5,Simpson,0.994037136315172,
"125",Treatment,Male,Twins,P3,T5W6,Simpson,0.995012553507672,
"126",Treatment,Male,Twins,P4,T5W7,Simpson,0.99449748489272,
"127",Treatment,Male,Twins,P4,T5W8,Simpson,0.992193569857388,
"128",Treatment,Female,Twins,P1,T6W1,Simpson,0.993541459431029,
"129",Treatment,Female,Twins,P2,T6W2,Simpson,0.995330095333334,
"130",Treatment,Female,Twins,P2,T6W3,Simpson,0.990200471341633,
"131",Treatment,Female,Twins,P3,T6W5,Simpson,0.983396044621383,
"132",Treatment,Female,Twins,P3,T6W6,Simpson,0.995043407111737,
