sample	Treat	Gender	Singleton	Periods
C10W1	Control	Male	Twins	P1
C10W2	Control	Male	Twins	P2
C10W3	Control	Male	Twins	P2
C10W4	Control	Male	Twins	P2
C10W5	Control	Male	Twins	P3
C10W6	Control	Male	Twins	P3
C10W7	Control	Male	Twins	P4
C10W8	Control	Male	Twins	P4
C1W1	Control	Male	Singleton	P1
C1W2	Control	Male	Singleton	P2
C1W3	Control	Male	Singleton	P2
C1W4	Control	Male	Singleton	P2
C1W5	Control	Male	Singleton	P3
C1W6	Control	Male	Singleton	P3
C1W7	Control	Male	Singleton	P4
C1W8	Control	Male	Singleton	P4
C2W1	Control	Female	Singleton	P1
C2W2	Control	Female	Singleton	P2
C2W3	Control	Female	Singleton	P2
C2W5	Control	Female	Singleton	P3
C2W6	Control	Female	Singleton	P3
C2W7	Control	Female	Singleton	P4
C2W8	Control	Female	Singleton	P4
C3W1	Control	Female	Singleton	P1
C3W2	Control	Female	Singleton	P2
C3W3	Control	Female	Singleton	P2
C3W4	Control	Female	Singleton	P2
C3W5	Control	Female	Singleton	P3
C3W6	Control	Female	Singleton	P3
C3W7	Control	Female	Singleton	P4
C3W8	Control	Female	Singleton	P4
C4W1	Control	Male	Singleton	P1
C4W2	Control	Male	Singleton	P2
C4W3	Control	Male	Singleton	P2
C4W4	Control	Male	Singleton	P2
C4W5	Control	Male	Singleton	P3
C4W6	Control	Male	Singleton	P3
C4W7	Control	Male	Singleton	P4
C4W8	Control	Male	Singleton	P4
C5W1	Control	Male	Twins	P1
C5W2	Control	Male	Twins	P2
C5W3	Control	Male	Twins	P2
C5W4	Control	Male	Twins	P2
C5W5	Control	Male	Twins	P3
C5W6	Control	Male	Twins	P3
C5W7	Control	Male	Twins	P4
C5W8	Control	Male	Twins	P4
C6W1	Control	Female	Twins	P1
C6W2	Control	Female	Twins	P2
C6W3	Control	Female	Twins	P2
C6W4	Control	Female	Twins	P2
C6W5	Control	Female	Twins	P3
C6W6	Control	Female	Twins	P3
C6W7	Control	Female	Twins	P4
C6W8	Control	Female	Twins	P4
C7W1	Control	Male	Twins	P1
C7W2	Control	Male	Twins	P2
C7W3	Control	Male	Twins	P2
C7W4	Control	Male	Twins	P2
C7W5	Control	Male	Twins	P3
C7W6	Control	Male	Twins	P3
C7W7	Control	Male	Twins	P4
C7W8	Control	Male	Twins	P4
C8W1	Control	Male	Twins	P1
C8W2	Control	Male	Twins	P2
C8W3	Control	Male	Twins	P2
C8W4	Control	Male	Twins	P2
C8W5	Control	Male	Twins	P3
C8W6	Control	Male	Twins	P3
C8W7	Control	Male	Twins	P4
C8W8	Control	Male	Twins	P4
C9W1	Control	Male	Twins	P1
C9W2	Control	Male	Twins	P2
C9W3	Control	Male	Twins	P2
C9W4	Control	Male	Twins	P2
C9W5	Control	Male	Twins	P3
C9W6	Control	Male	Twins	P3
C9W7	Control	Male	Twins	P4
C9W8	Control	Male	Twins	P4
T10W1	Treatment	Male	Twins	P1
T10W2	Treatment	Male	Twins	P2
T10W3	Treatment	Male	Twins	P2
T10W4	Treatment	Male	Twins	P2
T10W5	Treatment	Male	Twins	P3
T10W6	Treatment	Male	Twins	P3
T10W7	Treatment	Male	Twins	P4
T10W8	Treatment	Male	Twins	P4
T1W1	Treatment	Male	Singleton	P1
T1W2	Treatment	Male	Singleton	P2
T1W3	Treatment	Male	Singleton	P2
T1W4	Treatment	Male	Singleton	P2
T1W5	Treatment	Male	Singleton	P3
T1W6	Treatment	Male	Singleton	P3
T1W7	Treatment	Male	Singleton	P4
T1W8	Treatment	Male	Singleton	P4
T2W1	Treatment	Male	Singleton	P1
T2W2	Treatment	Male	Singleton	P2
T2W3	Treatment	Male	Singleton	P2
T2W4	Treatment	Male	Singleton	P2
T2W5	Treatment	Male	Singleton	P3
T2W6	Treatment	Male	Singleton	P3
T2W7	Treatment	Male	Singleton	P4
T2W8	Treatment	Male	Singleton	P4
T3W1	Treatment	Male	Singleton	P1
T3W2	Treatment	Male	Singleton	P2
T3W3	Treatment	Male	Singleton	P2
T3W4	Treatment	Male	Singleton	P2
T3W5	Treatment	Male	Singleton	P3
T3W6	Treatment	Male	Singleton	P3
T3W7	Treatment	Male	Singleton	P4
T3W8	Treatment	Male	Singleton	P4
T4W1	Treatment	Male	Singleton	P1
T4W2	Treatment	Male	Singleton	P2
T4W3	Treatment	Male	Singleton	P2
T4W4	Treatment	Male	Singleton	P2
T4W5	Treatment	Male	Singleton	P3
T4W6	Treatment	Male	Singleton	P3
T4W7	Treatment	Male	Singleton	P4
T4W8	Treatment	Male	Singleton	P4
T5W1	Treatment	Male	Twins	P1
T5W2	Treatment	Male	Twins	P2
T5W3	Treatment	Male	Twins	P2
T5W4	Treatment	Male	Twins	P2
T5W5	Treatment	Male	Twins	P3
T5W6	Treatment	Male	Twins	P3
T5W7	Treatment	Male	Twins	P4
T5W8	Treatment	Male	Twins	P4
T6W1	Treatment	Female	Twins	P1
T6W2	Treatment	Female	Twins	P2
T6W3	Treatment	Female	Twins	P2
T6W5	Treatment	Female	Twins	P3
T6W6	Treatment	Female	Twins	P3
T6W7	Treatment	Female	Twins	P4
T6W8	Treatment	Female	Twins	P4
T7W1	Treatment	Male	Twins	P1
T7W2	Treatment	Male	Twins	P2
T7W3	Treatment	Male	Twins	P2
T7W4	Treatment	Male	Twins	P2
T7W5	Treatment	Male	Twins	P3
T7W6	Treatment	Male	Twins	P3
T7W7	Treatment	Male	Twins	P4
T7W8	Treatment	Male	Twins	P4
T8W1	Treatment	Male	Twins	P1
T8W2	Treatment	Male	Twins	P2
T8W3	Treatment	Male	Twins	P2
T8W4	Treatment	Male	Twins	P2
T8W5	Treatment	Male	Twins	P3
T8W6	Treatment	Male	Twins	P3
T8W7	Treatment	Male	Twins	P4
T8W8	Treatment	Male	Twins	P4
T9W1	Treatment	Male	Twins	P1
T9W2	Treatment	Male	Twins	P2
T9W3	Treatment	Male	Twins	P2
